,LATITUD,LONGITUD
0,20.7043432,-103.3297132
1,20.7043432,-103.3297132
2,19.6960922851038,-101.162753223069
3,19.695148,-101.162623
4,19.695148,-101.162623
5,19.695148,-101.162623
6,19.695148,-101.162623
7,19.695148,-101.162623
8,19.695148,-101.162623
9,19.695148,-101.162623
10,19.695148,-101.162623
11,19.696021000000002,-101.162697
12,19.695148,-101.162623
13,19.695148,-101.162623
14,19.695148,-101.162623
15,19.696021000000002,-101.162697
16,19.695148,-101.162623
17,19.696021000000002,-101.162697
18,19.695148,-101.162623
19,19.695148,-101.162623
20,19.696021000000002,-101.162697
21,19.6824253,-101.1919292
22,19.6824253,-101.1919292
23,19.6824253,-101.1919292
24,19.6838537,-101.1903576
25,19.6824253,-101.1919292
26,19.6838537,-101.1903576
27,19.6824253,-101.1919292
28,19.6838537,-101.1903576
29,19.695148,-101.162623
30,19.696021000000002,-101.162697
31,19.695148,-101.162623
32,19.695148,-101.162623
33,19.695148,-101.162623
34,19.695148,-101.162623
35,19.695148,-101.162623
36,19.696021000000002,-101.162697
37,19.696021000000002,-101.162697
38,19.6836896,-101.1881582
39,19.6837461,-101.1881257
40,19.6824253,-101.1919292
41,19.6838537,-101.1903576
42,19.6837461,-101.1881257
43,19.6836896,-101.1881582
44,19.6836961,-101.1881052
45,19.6837461,-101.1881257
46,19.6837461,-101.1881257
47,19.6838537,-101.1903576
48,19.6824253,-101.1919292
49,19.6836896,-101.1881582
50,19.6836961,-101.1881052
51,19.6837461,-101.1881257
52,19.6838537,-101.1903576
53,19.6836896,-101.1881582
54,19.6824253,-101.1919292
55,19.6836961,-101.1881052
56,19.6837461,-101.1881257
57,19.6837461,-101.1881257
58,19.6837461,-101.1881257
59,19.6837461,-101.1881257
60,19.6824253,-101.1919292
61,19.6836896,-101.1881582
62,19.6836961,-101.1881052
63,19.6838537,-101.1903576
64,19.6837461,-101.1881257
65,19.6837461,-101.1881257
66,19.6837461,-101.1881257
67,19.6838537,-101.1903576
68,19.6836961,-101.1881052
69,19.6836896,-101.1881582
70,19.6824253,-101.1919292
71,19.6837461,-101.1881257
72,19.6836961,-101.1881052
73,19.6838537,-101.1903576
74,19.6824253,-101.1919292
75,19.6836896,-101.1881582
76,19.6837461,-101.1881257
77,19.6824253,-101.1919292
78,19.6838537,-101.1903576
79,19.6836896,-101.1881582
80,19.6837461,-101.1881257
81,19.6824253,-101.1919292
82,19.6838537,-101.1903576
83,19.6836896,-101.1881582
84,19.6837461,-101.1881257
85,19.6837461,-101.1881257
86,19.6836961,-101.1881052
87,19.6837461,-101.1881257
88,19.6837461,-101.1881257
89,19.6837461,-101.1881257
90,19.6837461,-101.1881257
91,19.6837461,-101.1881257
92,19.6837461,-101.1881257
93,19.6837461,-101.1881257
94,19.6837461,-101.1881257
95,19.6837461,-101.1881257
96,19.6836961,-101.1881052
97,19.6837461,-101.1881257
98,19.6836896,-101.1881582
99,19.6837461,-101.1881257
100,19.6824253,-101.1919292
101,19.6837461,-101.1881257
102,19.6837461,-101.1881257
103,19.6837461,-101.1881257
104,19.6837461,-101.1881257
105,19.6838537,-101.1903576
106,19.6837461,-101.1881257
107,19.6837461,-101.1881257
108,19.6837461,-101.1881257
109,19.6824253,-101.1919292
110,19.6836896,-101.1881582
111,19.6837461,-101.1881257
112,19.6838537,-101.1903576
113,19.6837461,-101.1881257
114,19.6837461,-101.1881257
115,19.6837461,-101.1881257
116,19.6837461,-101.1881257
117,19.6837461,-101.1881257
118,19.6837461,-101.1881257
119,19.6837461,-101.1881257
120,19.6837461,-101.1881257
121,19.6836961,-101.1881052
122,19.6837461,-101.1881257
123,19.6837461,-101.1881257
124,19.6837461,-101.1881257
125,19.6837461,-101.1881257
126,19.6837461,-101.1881257
127,19.6836896,-101.1881582
128,19.6837461,-101.1881257
129,19.6838537,-101.1903576
130,19.6837461,-101.1881257
131,19.6837461,-101.1881257
132,19.6837461,-101.1881257
133,19.6836961,-101.1881052
134,19.6837461,-101.1881257
135,19.6824253,-101.1919292
136,19.6837461,-101.1881257
137,19.6837461,-101.1881257
138,19.6837461,-101.1881257
139,19.6837461,-101.1881257
140,19.6837461,-101.1881257
141,19.6961012,-101.1627
142,19.6961012,-101.1627
143,19.6961286,-101.1627525
144,19.6961286,-101.1627525
145,19.6961286,-101.1627525
146,19.6961286,-101.1627525
147,19.6961286,-101.1627525
148,19.7266987,-101.0939967
149,19.7266987,-101.0939967
150,19.7266987,-101.0939967
151,19.7266987,-101.0939967
152,19.7266987,-101.0939967
153,19.7266987,-101.0939967
154,19.6772973,-101.2544707
155,19.6772973,-101.2544707
156,19.6772973,-101.2544707
157,19.6772973,-101.2544707
158,19.6772973,-101.2544707
159,19.6772973,-101.2544707
160,19.6772973,-101.2544707
161,19.3427938,-101.931164
162,19.677428,-101.2546834
163,19.6774592,-101.2546869
164,19.6774541,-101.2546866
165,19.6774402,-101.2547048
166,19.6774625,-101.2546921
167,19.6774625,-101.2546921
168,19.6774625,-101.2546921
169,19.6774651,-101.2546883
170,19.6774295,-101.2546873
171,19.6774295,-101.2546873
172,19.6774631,-101.2546988
173,19.6774631,-101.254686
174,19.6774631,-101.254686
175,19.6774631,-101.254686
176,19.6774631,-101.254686
177,19.6774631,-101.254686
178,19.6774631,-101.254686
179,19.7076675,-101.1576587
180,19.6774631,-101.254686
181,19.7076675,-101.1576587
182,19.7076675,-101.1576587
183,19.7076675,-101.1576587
184,19.7076675,-101.1576587
185,19.7076675,-101.1576587
186,19.7076675,-101.1576587
187,19.7076675,-101.1576587
188,19.7076675,-101.1576587
189,19.6960383,-101.1626117
190,19.6959933,-101.1625167
191,19.6959933,-101.1625167
192,19.6959933,-101.1625167
193,19.6959933,-101.1625167
194,19.6959933,-101.1625167
195,19.6959933,-101.1625167
196,19.6959933,-101.1625167
197,19.6959933,-101.1625167
198,19.6959933,-101.1625167
